"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
752,"2017-06-28",6,"13:27:32.12","14:10:32.901",43,"long","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
760,"2017-06-28",6,"13:29:05.161","13:36:46.913",7,"short","Subscriber",22,"Howard St at Beale St"
44,"2017-06-28",6,"13:30:13.344","13:42:03.057",11,"meduim","Subscriber",28,"The Embarcadero at Bryant St"
358,"2017-06-28",6,"13:30:30.925","13:40:52.919",10,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
288,"2017-06-28",6,"13:37:39.925","13:40:21.519",2,"short","Subscriber",62,"Victoria Manalo Draves Park"
1091,"2017-06-28",6,"13:40:19.889","13:55:19.599",14,"meduim","Subscriber",58,"Market St at 10th St"
355,"2017-06-28",6,"13:41:09.798","13:46:34.619",5,"short","Subscriber",321,"Folsom St at 5th St"
962,"2017-06-28",6,"13:42:26.449","13:46:57.915",4,"short","Subscriber",22,"Howard St at Beale St"
297,"2017-06-28",6,"13:44:42.085","14:11:40.281",26,"meduim","Subscriber",36,"Folsom St at 3rd St"
124,"2017-06-28",6,"13:47:50.747","15:10:39.063",22,"meduim","Customer",6,"The Embarcadero at Sansome St"
625,"2017-06-28",6,"13:48:12.389","14:00:04.925",11,"meduim","Subscriber",323,"Broadway at Kearny"
393,"2017-06-28",6,"13:48:16.061","15:10:40.039",22,"meduim","Customer",6,"The Embarcadero at Sansome St"
633,"2017-06-28",6,"13:48:18.336","13:54:24.18",6,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
170,"2017-06-28",6,"13:49:58.674","13:54:58.758",5,"short","Customer",13,"Commercial St at Montgomery St"
809,"2017-06-28",6,"13:52:26.192","14:02:56.912",10,"short","Subscriber",58,"Market St at 10th St"
875,"2017-06-28",6,"13:55:52.197","13:57:35.312",1,"short","Subscriber",23,"The Embarcadero at Steuart St"
145,"2017-06-28",6,"13:56:15.296","14:05:17.568",9,"short","Subscriber",90,"Townsend St at 7th St"
403,"2017-06-28",6,"13:58:54.616","16:16:46.388",17,"meduim","Customer",321,"Folsom St at 5th St"
329,"2017-06-28",6,"14:04:42.019","14:14:24.876",9,"short","Subscriber",58,"Market St at 10th St"
836,"2017-06-28",6,"14:04:47.991","14:06:31.743",1,"short","Subscriber",37,"Folsom St at 2nd St"
578,"2017-06-28",6,"14:05:18.576","14:18:24.105",13,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
732,"2017-06-28",6,"14:06:03.076","14:10:36.614",4,"short","Subscriber",8,"The Embarcadero at Vallejo St"
338,"2017-06-28",6,"14:06:30.812","14:19:07.278",12,"meduim","Subscriber",81,"Berry St at 4th St"
832,"2017-06-28",6,"14:10:09.255","14:18:12.393",8,"short","Subscriber",4,"Cyril Magnin St at Ellis St"
887,"2017-06-28",6,"14:10:31.934","14:24:59.208",14,"meduim","Subscriber",14,"Clay St at Battery St"
44,"2017-06-28",6,"14:10:44.175","14:17:43.663",6,"short","Subscriber",6,"The Embarcadero at Sansome St"
892,"2017-06-28",6,"14:10:45.219","14:16:16.142",5,"short","Subscriber",25,"Howard St at 2nd St"
899,"2017-06-28",6,"14:16:47.811","14:19:33.373",2,"short","Subscriber",323,"Broadway at Kearny"
392,"2017-06-28",6,"14:17:10.627","14:28:08.378",10,"short","Subscriber",58,"Market St at 10th St"
1091,"2017-06-28",6,"14:17:26.26","14:22:59.184",5,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
44,"2017-06-28",6,"14:18:13.72","14:39:01.996",20,"meduim","Customer",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
163,"2017-06-28",6,"14:20:45.251","14:22:08.872",1,"short","Subscriber",23,"The Embarcadero at Steuart St"
72,"2017-06-28",6,"14:21:22.507","14:25:17.736",3,"short","Subscriber",62,"Victoria Manalo Draves Park"
853,"2017-06-28",6,"14:21:44.177","14:35:57.334",14,"meduim","Subscriber",81,"Berry St at 4th St"
434,"2017-06-28",6,"14:21:50.829","14:24:42.94",2,"short","Subscriber",4,"Cyril Magnin St at Ellis St"
231,"2017-06-28",6,"14:23:05.703","14:26:19.362",3,"short","Subscriber",23,"The Embarcadero at Steuart St"
899,"2017-06-28",6,"14:23:17.974","14:27:15.807",3,"short","Subscriber",9,"Broadway at Battery St"
752,"2017-06-28",6,"14:26:47.711","14:48:22.092",21,"meduim","Subscriber",28,"The Embarcadero at Bryant St"
25,"2017-06-28",6,"14:28:08.719","14:32:18.3",4,"short","Subscriber",324,"Union Square (Powell St at Post St)"
732,"2017-06-28",6,"14:30:13.496","14:37:19.113",7,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
306,"2017-06-28",6,"14:30:53.533","14:32:39.936",1,"short","Customer",25,"Howard St at 2nd St"
169,"2017-06-28",6,"14:41:35.46","14:48:54.78",7,"short","Subscriber",62,"Victoria Manalo Draves Park"
180,"2017-06-28",6,"14:41:42.318","14:48:55.718",7,"short","Subscriber",62,"Victoria Manalo Draves Park"
